Sentiment,Text Tweet
positive,"Buat saudara yg muslim bersabar yah, walau saya Kristen tapi saya percaya masih bnyak ust yg jujur, yg baik hati dan lurus,saya Do'akan kerugian kalian akan d ganti kan oleh Tuhan.Tapi kedepannya cobalah kita untuk lebih percaya pada diri sendiri saja jangan percaya kepada orang lain. Terkadang manusia itu seperti casing, luarnya bagus dalam nya amburadul"
positive,"Saya katolik tapi saya percaya tdk semua ust seperti YM,saya yakin masih bnyak ust yg jujur dan tulus ikhlas untuk melayani umatnya,btw jangan salahkan agamanya namun salahkan orangnya😇 salam toleransi🙏"
negative,JANGAN SALAHKAN AGAMA TAPI SALAHKAN ORANGNYA 👍
,"Asi con toy y sus mañas no se la
LIkeeX.Uno ❤️"
positive,"Saya Kristen....saya ikut prihatin atas berita ini. Tapi saya yakin masih ada ustad2, ulama2, maupun pemuka agama lainnya yg hatinya bersih dan tulus. Bagi saudara2 kami muslim semoga tdk ada yg mjd korban penipuan para ust lagi, dan semoga mengikuti ajaran ustad yg jujur saja. Salam toleransi 😇🙏"
positive,"Mudah-mudahan Allah melindungi pak ustadz,  dan mengangkat semua ujian yang sedang menimpa, amin"
positive,"Jadikan ini pengalaman , jangan mudah percaya , tetap waspada bro..
Mana ada cari uang itu mudah dg keuntungan berlipat lipat kayak orang lipat kain."
positive,"Saya  orang Kristen tapi saya sangat yakin masih sangat banyak ustad2 yang baik hati,  beritegritas, dan berkualitas dan begitu banyak teman2 ku orang muslim yang sangat baik, dan semoga kelak ustad ini diberi hikmah dan bertobat🙏💖salam toleransi dari NTT (Sumba)🙏💖"
negative,"Jadi lebih menghargai ustad di kampung, orangnya berilmu agama tinggi, bicaranya santun, dan tak bergelimang harta."
negative,"Agama tidak salah yang salah oknumnya, semoga beliau diberi hidayah oleh Allah SWT dan untuk para korban bisa mendapatkan haknya dan keadilan agar permasalahan ini bisa diselesaikan dengan jalan damai dan tentunya hukum negara tetap berjalan atas apa yg beliau perbuat. Kita tidak berhak menghakimi seseorang walaupun nyata  beliau bersalah cukup do'akan yang terbaiK karena hukum akan tetap berjalan"
positive,"Terkadang Allah titipkan harta kepada kita bukan atas terkabulnya doa, melainkan itu sebagai cobaan untuk kita, masih tetap istiqamah atau tidak. Semoga kita semuanya selalu dalam lindungan Allah."
negative,"Saya Kristen, Jangan Di salah kan Agama Yg Harus Di salahkan Kepribadian Diri Sendiri"
negative,"""Aku lebih menghargai orang yang beradab daripada berilmu. Kalau hanya berilmu iblis pun lebih tinggi ilmunya daripada manusia""
Syech Abdul qadir jaelani."
negative,Akhirnya Allah menunjukkan kebenaran yg telah lama tersembunyi
positive,"Saya Umat Katolik tp saya juga suka mendengar dakwah dr beliau termasuk dari almarhum kiyai haji Zainuddin MZ yg betul2 menginspirasi 👍👍
Semoga kedamaian antar umat beragama di negara kita selalu terjaga"
negative,Di negara NKRI tidak ada yang namanya kebal hukum apabila itu seseorang melanggar hukum itu Ustadz atau Pendeta atau rakyat biasa siapa saja yang melanggar hukum adalah urusannya dengan Polisi dan ditempatkan kedalam Penjara.
positive,Tetap tegar saudaraku ku yg beragama muslim...biarkan Tuhan Yang menghukumnya kelak .... Salam dari Nasrani.... Damai dihati💪💪
positive,semoga allah memberikan hidayah kepada umat nya yang berbuat dosa.
negative,"Saya Kristen, saya hanya mau bilang, jangan salahkan agamanya, tapi salahkan kepribadian dan sifatnya."
positive,""" Terkadang orang jahat tercipta dari orang yang baik yang memiliki dendam, dan orang baik tercipta dari orang jahat yang menyesal """
negative,"Penipu berkedok agama, ingat ya saudaraku jangan salahkan agamanya tapi orangnya. Ayo penegak hukum, tegakkanlah hukum seadil-adilnya."
negative,Hebat orang indonesia toleransi nya antar umat beragama 👍
positive,Saya non muslim pling suka sama alm uje dan ngefans bgt sm beliau.. saya yakin diluar sana masih banyak ustad dan ulama yg jujur dan tetap di jalan tuhan
